Entry Time,Entry Date,ROI% MACD,ROI% MTrend,Dates 1,Dates,,,,ROI% PF
2017-07-12 09:15:00,2017-07-12,-0.04429831545,,12/07/2017,26/03/2018,0.2320323376,0,0,0.1160161688
2017-07-12 14:15:00,2017-07-12,0.8711762409,,12/07/2017,27/03/2018,-0.9914351431,0,0,-0.4957175715
2017-07-12 15:15:00,2017-07-12,1.984811494,,12/07/2017,28/03/2018,-0.649541445,0,0,-0.3247707225
2017-07-12 15:15:00,2017-07-12,5.030064085,,12/07/2017,02/04/2018,0.2884146531,0,0,0.1442073266
2017-07-14 11:15:00,2017-07-14,0.85812489,,14/07/2017,03/04/2018,-0.5189209555,0,0,-0.2594604778
2017-07-19 09:45:00,2017-07-19,0.249919587,,19/07/2017,05/04/2018,16.97100516,1.642477996,2.463716995,9.717361077
2017-07-19 14:15:00,2017-07-19,-0.03469014,,19/07/2017,11/04/2018,0.0506482221,0,0,0.02532411105
2017-07-19 15:15:00,2017-07-19,-0.440879995,,19/07/2017,12/04/2018,1.435755095,-1.0661875,-1.59928125,-0.08176307745
2017-07-21 10:15:00,2017-07-21,-0.9938242641,,21/07/2017,13/04/2018,-0.3737779254,0,0,-0.1868889627
2017-07-21 09:45:00,2017-07-21,-0.5339968029,,21/07/2017,16/04/2018,-0.2312312508,0,0,-0.1156156254
2017-07-21 10:15:00,2017-07-21,-0.9787368084,,21/07/2017,17/04/2018,-0.6947996983,0,0,-0.3473998492
2017-07-21 14:15:00,2017-07-21,1.33310933,,21/07/2017,20/04/2018,-0.10497392,0,0,-0.05248696
2017-07-21 15:15:00,2017-07-21,1.752265603,,21/07/2017,24/04/2018,-1.787461365,0,0,-0.8937306824
2017-07-21 15:15:00,2017-07-21,0.899844234,,21/07/2017,26/04/2018,4.273193381,0.6272045221,0.9408067831,2.607000082
2017-07-21 15:15:00,2017-07-21,2.326425284,,21/07/2017,27/04/2018,2.981961392,0,0,1.490980696
2017-07-28 10:15:00,2017-07-28,-0.4850482554,,28/07/2017,02/05/2018,-0.253205784,0,0,-0.126602892
2017-07-31 10:15:00,2017-07-31,-0.7443390646,,31/07/2017,03/05/2018,-0.416988507,0.1683230769,0.2524846154,-0.08225194581
2017-07-31 10:15:00,2017-07-31,0.5141818788,,31/07/2017,04/05/2018,4.359639525,0,0,2.179819763
2017-07-31 11:15:00,2017-07-31,-0.05284889718,,31/07/2017,07/05/2018,0.6952699971,0,0,0.3476349986
2017-07-31 11:15:00,2017-07-31,-0.269460432,,31/07/2017,10/05/2018,-0.1831957156,0,0,-0.09159785782
2017-08-01 11:45:00,2017-08-01,0.06436793685,,01/08/2017,11/05/2018,1.426441985,0,0,0.7132209926
