Trade No.,Entry_Date,Exit_Date,Trade_Type,Entry_Price,Exit_Price,PnL,Slippage,PnL w cs,Cumulative_PnL
119,2021-10-04 21:00:00+05:30,2021-10-29 17:00:00+05:30,Long,46877.0,47530,653.0,94.407,558.593,11924.72
120,2021-11-03 17:00:00+05:30,2021-11-05 17:00:00+05:30,Short,46961.0,47830,-869.0,94.791,-963.7909999999999,10960.929
121,2021-11-10 17:00:00+05:30,2021-11-22 13:00:00+05:30,Long,49123.0,48630,-493.0,97.753,-590.753,10370.176
122,2021-11-22 21:00:00+05:30,2021-11-30 09:00:00+05:30,Short,47918.0,48136,-218.0,96.054,-314.054,10056.122
123,2021-11-30 21:00:00+05:30,2021-12-06 09:00:00+05:30,Short,47838.0,47999,-161.0,95.837,-256.837,9799.285
124,2021-12-16 17:00:00+05:30,2021-12-21 09:00:00+05:30,Long,48616.0,48000,-616.0,96.616,-712.616,9086.669
125,2022-01-06 21:00:00+05:30,2022-01-12 13:00:00+05:30,Short,47415.0,47770,-355.0,95.185,-450.185,8636.484
126,2022-01-19 21:00:00+05:30,2022-01-27 17:00:00+05:30,Long,48389.0,48055,-334.0,96.444,-430.444,8206.04
127,2022-02-10 09:00:00+05:30,2022-03-14 17:00:00+05:30,Long,48775.0,52184,3409.0,100.959,3308.041,11514.081000000002
128,2022-03-15 17:00:00+05:30,2022-03-24 09:00:00+05:30,Short,51459.0,51828,-369.0,103.287,-472.28700000000003,11041.794000000002
129,2022-03-29 09:00:00+05:30,2022-03-31 09:00:00+05:30,Short,51171.0,51630,-459.0,102.801,-561.801,10479.993000000002
130,2022-04-11 13:00:00+05:30,2022-04-20 09:00:00+05:30,Long,52425.0,52431,6.0,104.85600000000001,-98.85600000000001,10381.137000000002
131,2022-04-25 17:00:00+05:30,2022-05-06 17:00:00+05:30,Short,51469.0,51524,-55.0,102.99300000000001,-157.993,10223.144000000002
132,2022-05-10 17:00:00+05:30,2022-05-19 17:00:00+05:30,Short,50676.0,50750,-74.0,101.426,-175.426,10047.718000000003
133,2022-06-10 21:00:00+05:30,2022-06-13 17:00:00+05:30,Long,51694.0,50642,-1052.0,102.336,-1154.336,8893.382000000003
134,2022-06-14 17:00:00+05:30,2022-06-16 17:00:00+05:30,Short,50250.0,50900,-650.0,101.15,-751.15,8142.232000000004
