,index,Trade No.,Entry_Date,Exit_Date,Trade_Type,Entry_Price,Previous MA Value,Initial SL,Exit_Price,Exit Remark,PnL,Slippage,PnL w cs,Qty,Profit_Loss INR,ROI%,Trade Year
295,295,295,2023-08-16 14:45:00+05:30,2023-08-17 09:15:00+05:30,Long,65556.31,65317.07518518519,65195.52962962963,65349.18,Trailing SL Hit,-207.12999999999738,13.090549,-220.2205489999974,831.5308277222156,-183120.17539140856,-1.8312017539140855,2023
296,296,296,2023-08-21 12:15:00+05:30,2023-08-21 15:15:00+05:30,Long,65236.86,65084.64481481481,64960.96148148149,65184.78,Trailing SL Hit,-52.080000000001746,13.042164000000001,-65.12216400000175,1087.3563280111446,-70810.99711918145,-0.7081099711918145,2023
297,297,297,2023-08-22 09:15:00+05:30,2023-08-22 14:15:00+05:30,Long,65347.16,65105.414814814816,64987.29259259259,65238.02,Trailing SL Hit,-109.1400000000067,13.058518,-122.19851800000669,833.640373717874,-101869.61821329592,-1.0186961821329592,2023
298,298,298,2023-08-23 12:15:00+05:30,2023-08-24 14:45:00+05:30,Long,65400.93,65303.09888888889,65213.73888888889,65303.77,Trailing SL Hit,-97.16000000000349,13.07047,-110.23047000000349,1602.640201339094,-176659.78263450853,-1.7665978263450854,2023
299,299,299,2023-08-30 09:15:00+05:30,2023-08-30 14:45:00+05:30,Long,65365.04,65100.98259259259,65016.49481481482,65093.66,Trailing SL Hit,-271.3799999999974,13.045870000000003,-284.42586999999736,860.7205399799429,-244811.18841066278,-2.448111884106628,2023
300,300,300,2023-09-01 12:45:00+05:30,2023-09-20 09:15:00+05:30,Long,65234.3,65145.24222222222,65010.85962962964,67155.54,Trailing SL Hit,1921.2399999999907,13.238984,1908.0010159999906,1342.6400945484181,2561758.664520705,25.61758664520705,2023
301,301,301,2023-09-29 13:45:00+05:30,2023-09-29 14:45:00+05:30,Long,66060.09,65934.33814814815,65799.73222222223,65799.73222222223,Initial SL Hit,-260.3577777777682,13.185982222222224,-273.5437599999904,1152.2605645223664,-315193.6873191597,-3.151936873191597,2023
302,302,302,2023-10-05 09:15:00+05:30,2023-10-05 09:45:00+05:30,Long,65598.27,65368.247407407405,65234.780740740745,65554.24,Trailing SL Hit,-44.029999999998836,13.115251000000002,-57.14525099999884,825.3338781216229,-47163.91162406259,-0.47163911624062593,2023
303,303,303,2023-10-05 10:45:00+05:30,2023-10-05 12:45:00+05:30,Long,65726.3,65355.590000000004,65245.933333333334,65582.24,Trailing SL Hit,-144.05999999999767,13.130854000000001,-157.19085399999767,624.5229338699579,-98169.29331760276,-0.9816929331760276,2023
304,304,304,2023-10-05 13:15:00+05:30,2023-10-09 09:15:00+05:30,Long,65695.52,65390.57222222222,65273.39592592592,65668.55,Trailing SL Hit,-26.970000000001164,13.136407000000002,-40.10640700000117,710.69152039727,-28503.283368502543,-0.2850328336850254,2023
305,305,305,2023-10-10 11:45:00+05:30,2023-10-13 09:15:00+05:30,Long,65992.15,65820.75074074074,65723.68481481481,66073.83,Trailing SL Hit,81.68000000000757,13.206598,68.47340200000757,1117.4633306477585,76516.51585971135,0.7651651585971134,2023
306,306,306,2023-10-17 09:15:00+05:30,2023-10-18 10:45:00+05:30,Long,66491.21,66263.0662962963,66154.4811111111,66154.4811111111,Initial SL Hit,-336.72888888890157,13.264569111111111,-349.99345800001265,890.9244496066398,-311817.7289345859,-3.1181772893458586,2023
307,307,307,2023-11-02 09:15:00+05:30,2023-11-02 11:15:00+05:30,Long,64178.29,63922.35407407408,63781.96111111111,63895.63,Trailing SL Hit,-282.6600000000035,12.807392,-295.4673920000035,756.9470922017554,-223653.18321483882,-2.2365318321483882,2023
