,Index,Strike,Option Type,Expiry,Signal Generated At,Trade Type,Entry Time,Entry Price,Initial SL,Target,Exit Time,Exit Price,Points Captured,Slippages,After Costs,PnL,Remarks,Qty,ROI%,Trade Year,Trade Month
908,bnf,42200,P,2023-01-19,2023-01-17 15:05:00,SELL,2023-01-17 15:10:00,193.0,289.5,10,2023-01-19 14:50:00,10.0,183.0,2.0300000000000002,180.97,24430.95,Target Hit,135,2.443095,2023,1
909,bnf,42500,C,2023-01-25,2023-01-20 13:40:00,SELL,2023-01-20 13:45:00,332.75,499.125,10,2023-01-23 09:30:00,499.125,-166.375,8.31875,-174.69375,-23583.65625,Initial SL Hit,135,-2.3583656250000002,2023,1
910,bnf,42500,C,2023-01-25,2023-01-23 13:25:00,SELL,2023-01-23 13:30:00,423.0,634.5,10,2023-01-25 11:20:00,10.0,413.0,4.33,408.67,55170.450000000004,Target Hit,135,5.517045,2023,1
911,bnf,41400,C,2023-02-02,2023-01-27 13:25:00,SELL,2023-01-27 13:30:00,229.15,343.725,10,2023-01-30 09:30:00,343.725,-114.57500000000002,5.72875,-120.30375000000002,-18045.562500000004,Initial SL Hit,150,-1.8045562500000005,2023,1
912,bnf,41400,C,2023-02-02,2023-01-30 09:45:00,SELL,2023-01-30 09:50:00,223.85,335.775,10,2023-02-01 09:15:00,338.25,-114.4,5.621,-120.021,-18003.15,Gap Outside ISL,150,-1.8003150000000003,2023,1
913,bnf,41400,C,2023-02-02,2023-02-01 13:45:00,SELL,2023-02-01 13:50:00,211.85,317.775,10,2023-02-02 11:35:00,10.0,201.85,2.2185,199.6315,29944.725,Target Hit,150,2.9944724999999996,2023,2
914,bnf,41400,P,2023-02-02,2023-02-02 15:25:00,SELL,2023-01-27 09:15:00,728.95,1093.4250000000002,10,2023-01-27 12:15:00,1093.4250000000002,-364.47500000000014,18.223750000000003,-382.69875000000013,-57404.81250000002,Initial SL Hit,150,-5.740481250000002,2023,1
915,bnf,41400,P,2023-02-02,2023-01-30 09:25:00,SELL,2023-01-30 09:30:00,914.75,1372.125,10,2023-01-30 10:45:00,1386.65,-471.9000000000001,23.014000000000003,-494.9140000000001,-74237.10000000002,Gap Outside ISL,150,-7.423710000000002,2023,1
916,bnf,41400,P,2023-02-02,2023-01-30 15:00:00,SELL,2023-01-30 15:05:00,1080.9,1621.3500000000001,10,2023-02-01 14:50:00,1621.3500000000001,-540.45,27.0225,-567.4725000000001,-85120.87500000001,Initial SL Hit,150,-8.512087500000002,2023,1
917,bnf,41400,P,2023-02-02,2023-02-02 12:45:00,SELL,2023-02-02 12:50:00,1122.45,1683.6750000000002,10,2023-02-02 15:20:00,733.25,389.20000000000005,18.557000000000002,370.64300000000003,55596.450000000004,Expiry Exit,150,5.559645000000001,2023,2
918,bnf,41000,C,2023-02-09,2023-02-03 13:25:00,SELL,2023-02-03 13:30:00,382.8,574.2,10,2023-02-03 14:25:00,574.2,-191.40000000000003,9.57,-200.97000000000003,-30145.500000000004,Initial SL Hit,150,-3.0145500000000003,2023,2
919,bnf,41000,C,2023-02-09,2023-02-06 12:20:00,SELL,2023-02-06 12:25:00,604.8,907.1999999999999,10,2023-02-09 15:20:00,553.3,51.5,11.581,39.919,5987.849999999999,Expiry Exit,150,0.5987849999999999,2023,2
920,bnf,41000,P,2023-02-09,2023-02-03 13:55:00,SELL,2023-02-03 14:00:00,368.95,553.425,10,2023-02-09 13:20:00,10.0,358.95,3.7895,355.1605,53274.075000000004,Target Hit,150,5.3274075000000005,2023,2
921,bnf,41500,C,2023-02-16,2023-02-10 14:05:00,SELL,2023-02-10 14:10:00,361.5,542.25,10,2023-02-16 15:20:00,145.85,215.65,5.0735,210.5765,31586.475000000002,Expiry Exit,150,3.1586475000000003,2023,2
922,bnf,41500,P,2023-02-16,2023-02-10 13:25:00,SELL,2023-02-10 13:30:00,265.0,397.5,10,2023-02-13 10:05:00,397.5,-132.5,6.625,-139.125,-20868.75,Initial SL Hit,150,-2.086875,2023,2
923,bnf,41500,P,2023-02-16,2023-02-13 14:20:00,SELL,2023-02-13 14:25:00,347.8,521.7,10,2023-02-16 13:20:00,10.0,337.8,3.5780000000000003,334.22200000000004,50133.3,Target Hit,150,5.013330000000001,2023,2
924,bnf,41500,C,2023-02-23,2023-02-17 13:25:00,SELL,2023-02-17 13:30:00,166.1,249.14999999999998,10,2023-02-22 13:55:00,10.0,156.1,1.761,154.339,23150.85,Target Hit,150,2.315085,2023,2
925,bnf,41500,P,2023-02-23,2023-02-23 15:30:00,SELL,2023-02-17 09:15:00,1504.55,2256.825,10,2023-02-23 15:20:00,1499.85,4.7000000000000455,30.043999999999997,-25.34399999999995,-3801.5999999999926,Expiry Exit,150,-0.3801599999999993,2023,2
926,bnf,40300,C,2023-03-02,2023-02-24 13:35:00,SELL,2023-02-24 13:40:00,193.0,289.5,10,2023-02-27 15:25:00,289.5,-96.5,4.825,-101.325,-15198.75,Initial SL Hit,150,-1.519875,2023,2
927,bnf,40300,C,2023-03-02,2023-02-28 09:25:00,SELL,2023-02-28 09:30:00,246.9,370.35,10,2023-03-01 10:30:00,370.35,-123.45000000000002,6.1725,-129.62250000000003,-19443.375000000004,Initial SL Hit,150,-1.9443375000000003,2023,2
928,bnf,40300,C,2023-03-02,2023-03-02 09:20:00,SELL,2023-03-02 09:25:00,395.55,593.325,10,2023-03-02 15:20:00,92.6,302.95000000000005,4.8815,298.06850000000003,44710.275,Expiry Exit,150,4.4710275,2023,3
929,bnf,40300,P,2023-03-02,2023-02-24 13:55:00,SELL,2023-02-24 14:00:00,420.45,630.675,10,2023-03-02 10:40:00,10.0,410.45,4.3045,406.14549999999997,60921.825,Target Hit,150,6.0921825,2023,2
930,bnf,40700,C,2023-03-09,2023-03-09 15:25:00,SELL,2023-03-03 09:15:00,554.2,831.3000000000001,10,2023-03-06 09:15:00,831.3000000000001,-277.1,13.855,-290.95500000000004,-43643.25000000001,Initial SL Hit,150,-4.364325000000001,2023,3
931,bnf,40700,C,2023-03-09,2023-03-06 11:20:00,SELL,2023-03-06 11:25:00,707.05,1060.5749999999998,10,2023-03-09 15:20:00,559.0,148.04999999999995,12.660499999999999,135.38949999999994,20308.424999999992,Expiry Exit,150,2.030842499999999,2023,3
932,bnf,40700,P,2023-03-09,2023-03-03 13:25:00,SELL,2023-03-03 13:30:00,89.45,134.175,10,2023-03-08 15:05:00,10.0,79.45,0.9945,78.4555,11768.325,Target Hit,150,1.1768325000000002,2023,3
