,Total ROI,Total Trades,Win Rate,Avg Profit% per Trade,Avg Loss% per Trade,Max Drawdown,ROI/DD Ratio
"(2018, 11)",4.484893968854097,16,68.75,0.5414197662317979,-0.2941446919391359,-0.5278557026387308,8.496439361049394
"(2018, 12)",1.703449924246434,16,68.75,0.29004226074161266,-0.297402988782261,-0.8692389613130175,1.9597026825319819
"(2019, 1)",-4.150679881293372,16,25.0,0.12252140379193442,-0.38673045803842565,-3.6656149057070415,-1.1323284054828364
"(2019, 2)",0.5211762315110868,16,56.25,0.2942378136101838,-0.3038520129972239,-1.3006021108519445,0.4007191954883852
"(2019, 3)",6.197964131375282,16,87.5,0.4963376756586467,-0.3753816639228864,-0.4021203983439633,15.413204992584598
"(2019, 4)",-2.0018303423857047,16,31.25,0.19343104202367167,-0.2699077775003694,-1.5923612039825032,-1.2571458896254928
"(2019, 5)",1.57722846721173,16,50.0,0.5203356367993217,-0.32318207839785545,-1.4649580631927184,1.076637281871626
"(2019, 6)",0.7381029520960762,16,62.5,0.2876070735894712,-0.3563279639664392,-1.3498479683998694,0.5468045064149223
"(2019, 7)",-7.683706882199541,16,25.0,0.21827674021600757,-0.7130678202552976,-6.613337692162279,-1.1618500732702335
"(2019, 8)",2.0810166217299013,16,56.25,0.36823226362099315,-0.20551229180983963,-0.46486628387572604,4.4765918585875015
"(2019, 9)",6.681033672887265,16,81.25,0.5425967883450808,-0.12424152519959536,-0.30965909090909083,21.575448191342367
"(2019, 10)",3.6342793220723624,16,56.25,0.5631806901429158,-0.2049066984591259,-0.6484735363096341,5.6043602685076435
"(2019, 11)",-2.020697724687576,16,37.5,0.30387305697347144,-0.38439360665284045,-2.896358537649749,-0.697668364748541
"(2019, 12)",2.5810107704653955,16,56.25,0.38442895889949485,-0.12554997994715117,-0.34960946790867053,7.382553984892767
"(2020, 1)",1.9669233928494134,16,62.5,0.4212492369354326,-0.3742614960841522,-0.8612156543749108,2.2838918253025136
"(2020, 2)",-5.906030037378431,16,18.75,0.3235611106155034,-0.5289779514788416,-5.80064827703909,-1.0181672384372067
"(2020, 3)",-21.715878262531184,16,12.5,0.11318158041821733,-1.567302958811973,-18.382044422562565,-1.1813636047945022
"(2020, 4)",9.512920449527503,16,87.5,0.6971155580041792,-0.12334868126550322,-0.16949148017806515,56.12624563508074
"(2020, 5)",-2.3643053172295136,16,43.75,0.3457492035571219,-0.5316166380143741,-2.7012092386014603,-0.8752766292379567
"(2020, 6)",7.025883143947231,16,93.75,0.4936102534143709,-0.3782706572683323,-0.37827065726833276,18.573693224540282
"(2020, 7)",5.115053228691867,16,81.25,0.4170834585695348,-0.10234391090402874,-0.30703173271208617,16.65968915821617
"(2020, 8)",6.544233342585946,16,75.0,0.6708034643056363,-0.3763520572704227,-0.45051413881748026,14.526144195526022
"(2020, 9)",2.4105788879534806,16,75.0,0.39328293937287523,-0.5772040961302557,-1.2248176206509547,1.9681125151288472
"(2020, 10)",0.28946265580471625,16,56.25,0.47831356309116113,-0.5736227731451048,-3.8611177667715175,0.07496861615975808
"(2020, 11)",17.162401600111348,16,87.5,1.2431244863168143,-0.12067060416202752,-0.13170277152452314,130.31162063978053
"(2020, 12)",11.308520372539531,16,87.5,0.8512403548707991,-0.3044222978258274,-0.3614765252891816,31.284245535703054
"(2021, 1)",-0.1866658197587372,16,37.5,0.5613920770467834,-0.3555018282039438,-2.461742887153185,-0.07582669202899649
"(2021, 2)",15.014478232336632,16,75.0,1.3655046780652518,-0.3428944761115979,-0.5674807197943443,26.45812925199978
"(2021, 3)",3.838708649525649,16,56.25,0.7172912187690804,-0.37384461705658234,-1.1698478056498804,3.2813744069837765
"(2021, 4)",5.048867439518778,16,56.25,0.8660829343373898,-0.3922684242168186,-0.9554020272133892,5.284547547219211
"(2021, 5)",9.428309913722876,16,87.5,0.7380473805870819,-0.4521767072481362,-0.6361631159888093,14.820585596302834
"(2021, 6)",5.9186606029105935,16,68.75,0.7199910118507712,-0.40024810548957807,-0.9549171508500107,6.198088072501528
"(2021, 7)",5.08407261240494,16,62.5,0.8930452198886536,-0.6410632644135994,-1.458429270087498,3.485991893250965
"(2021, 8)",4.7078461963024765,16,62.5,0.7470098545596573,-0.46037539154901586,-1.0737592381522028,4.3844523325397
"(2021, 9)",9.350987967588264,16,68.75,1.0260089406619906,-0.3870220759387269,-1.138734005607195,8.211740337553312
"(2021, 10)",7.893980777490047,16,50.0,1.5128094070499856,-0.5260618098637296,-2.4724214413036547,3.192813589793057
"(2021, 11)",-3.5805148127545325,16,37.5,0.4180005705915686,-0.6088518236303944,-4.14392106374325,-0.8640403032967556
"(2021, 12)",4.959695874213171,16,81.25,0.4562472072672641,-0.3238392734204206,-0.525313113022484,9.441408849812762
"(2022, 1)",0.221813718263292,16,25.0,1.282726497199313,-0.40909102254449675,-3.2171566373199747,0.06894713042261817
"(2022, 2)",-4.041504201051241,16,43.75,0.4461138877578746,-0.7960334905951513,-4.184269343692575,-0.9658805084198177
"(2022, 3)",4.690367514781497,16,68.75,0.5232664468686365,-0.21311268015470106,-0.5487582037113756,8.547238989885678
"(2022, 4)",3.853295499420402,16,68.75,0.4713453388413597,-0.266300645566911,-0.572770177445979,6.727472293691175
"(2022, 5)",-7.754052826347511,16,18.75,0.6194562241457428,-0.7394170383680568,-6.821402071588181,-1.1367242020000425
"(2022, 6)",-7.182261526249663,15,0.0,,-0.47881743508331087,-6.914176419866685,-1.0387732522434172
"(2022, 7)",10.99134476428177,15,93.33333333333333,0.7891632822403268,-0.05694118708280663,0.0,inf
"(2022, 8)",7.653509854648777,15,86.66666666666667,0.5991642596079347,-0.06781276012718751,-0.12922674881849172,59.22543068384923
"(2022, 9)",-2.0667070112521064,15,26.666666666666668,0.525150618489002,-0.3788463168371013,-3.2281611331757194,-0.6402118500258918
"(2022, 10)",2.1483404768613146,15,60.0,0.46059610438648657,-0.3328374104361774,-0.6590747253561717,3.2596311073836524
"(2022, 11)",2.7582436163398034,15,66.66666666666666,0.4586159250676154,-0.36558312686726996,-1.1639105561591483,2.369807200169987
"(2022, 12)",-4.2094198902123505,14,28.57142857142857,0.12099486777009688,-0.4693399361292738,-3.48943508778074,-1.206332768577024
"(2023, 1)",-3.1433597527590726,14,42.857142857142854,0.32779325973304513,-0.6387649138946679,-4.275061553651691,-0.7352782441399152
"(2023, 2)",-0.1927713464974785,14,57.14285714285714,0.36653201178468764,-0.5208379067958299,-1.6685725150687143,-0.11553069750135486
"(2023, 3)",1.4420193864986746,14,78.57142857142857,0.23539174397745413,-0.3824299324177736,-0.7664147920998485,1.8815129892623579
"(2023, 4)",4.567923438443105,14,92.85714285714286,0.36171520296897514,-0.13437420015357077,-0.13437420015357082,33.99405118856604
"(2023, 5)",5.527067458313062,14,78.57142857142857,0.5444663524042448,-0.15402080604454355,-0.19346692733789528,28.56853899715835
"(2023, 6)",3.4670805268164613,11,72.72727272727273,0.5204160199881035,-0.23208254436278877,-0.6884971370566206,5.035722503710768
"(2023, 7)",3.049918585142854,10,80.0,0.4239375287386977,-0.17079082238336396,-0.3415816447667279,8.92881286764017
