Month,Month High,Month Low,Monthly Range,Current Month Open,Multiplier to Range,Entry Level Long,Entry Level Short,Break Type,Strike,Expiry,DTE,Contract,Option Type,Entry Time,Entry Price,Exit Time,Exit Price,Remark,Points,Slippage,Points w cs,Qty,PnL,PnL w cs,ROI%,ROI% w cs,Trade Year
2022-03-31,17317.7,15043.9,2273.800000000001,17093.25,10%,17320.63,16865.87,high,16850,2022-04-26,25,FINNIFTY22APR16850PE,PE,2022-04-01 12:33:00,,2022-04-26 15:30:00,,Expiry Closing,,,,474.7774480712166,,,,,2022
2022-03-31,17317.7,15043.9,2273.800000000001,17093.25,10%,17320.63,16865.87,low,17300,2022-04-26,7,FINNIFTY22APR17300CE,CE,2022-04-19 15:01:00,,2022-04-26 15:30:00,,Expiry Closing,,,,462.42774566473986,,,,,2022
2022-04-30,18541.5,16439.65,2101.8499999999985,16403.25,10%,16613.435,16193.065,high,16200,2022-05-31,29,FINNIFTY22MAY16200PE,PE,2022-05-02 12:27:00,,2022-05-04 12:44:00,,SL Hit,,,,493.82716049382714,,,,,2022
2022-04-30,18541.5,16439.65,2101.8499999999985,16403.25,10%,16613.435,16193.065,low,16600,2022-05-31,27,FINNIFTY22MAY16600CE,CE,2022-05-04 14:51:00,,2022-05-31 15:30:00,,Expiry Closing,,,,481.9277108433735,,,,,2022
2022-05-31,16729.55,15247.3,1482.25,16419.95,10%,16568.175,16271.725,high,16250,2022-06-28,27,FINNIFTY22JUN16250PE,PE,2022-06-01 11:52:00,,2022-06-14 09:15:00,,SL Hit,,,,492.3076923076923,,,,,2022
2022-05-31,16729.55,15247.3,1482.25,16419.95,10%,16568.175,16271.725,low,16550,2022-06-28,22,FINNIFTY22JUN16550CE,CE,2022-06-06 09:15:00,,2022-06-28 15:30:00,,Expiry Closing,,,,483.3836858006042,,,,,2022
2022-06-30,16612.85,14860.15,1752.699999999999,15395.9,10%,15571.17,15220.63,high,15200,2022-07-26,25,FINNIFTY22JUL15200PE,PE,2022-07-01 14:35:00,,2022-07-26 15:30:00,,Expiry Closing,,,,526.3157894736842,,,,,2022
2022-07-31,17506.15,15316.5,2189.6500000000015,17512.55,10%,17731.515,17293.585,high,17300,2022-08-30,20,FINNIFTY22AUG17300PE,PE,2022-08-10 09:15:00,,2022-08-30 15:30:00,,Expiry Closing,,,,462.42774566473986,,,,,2022
2022-07-31,17506.15,15316.5,2189.6500000000015,17512.55,10%,17731.515,17293.585,low,17750,2022-08-30,26,FINNIFTY22AUG17750CE,CE,2022-08-04 11:46:00,,2022-08-05 09:15:00,,SL Hit,,,,450.7042253521127,,,,,2022
2022-08-31,18445.95,17246.2,1199.75,17913.95,10%,18033.925,17793.975000000002,high,17800,2022-09-27,26,FINNIFTY22SEP17800PE,PE,2022-09-01 09:23:00,,2022-09-27 15:30:00,,Expiry Closing,,,,449.438202247191,,,,,2022
