Trade Type,Entry Time,Entry Price,Initial SL,Exit Time,Exit Price,Points Captured,Slippage,Qty,Final Points,PnL,ROI%,Trade Duration,Remarks,Trade Year
SHORT,2019-01-22 10:15:00,27424.4,27698.644,2019-01-23 09:15:00,27495.2,-70.79999999999927,5.491960000000001,1080,-76.29195999999928,-82395.31679999921,-0.8239531679999922,0 days 23:00:00,MA Cross Opp,2019
LONG,2019-01-23 09:15:00,27495.2,27220.248,2019-01-23 14:15:00,27220.248,-274.95200000000114,5.471544800000001,1080,-280.42354480000114,-302857.42838400125,-3.0285742838400123,0 days 05:00:00,ISL Hit,2019
SHORT,2019-01-23 15:15:00,27215.25,27487.4025,2019-01-25 09:15:00,27342.35,-127.09999999999854,5.45576,1080,-132.55575999999854,-143160.22079999844,-1.4316022079999844,1 days 18:00:00,MA Cross Opp,2019
LONG,2019-01-25 09:15:00,27342.35,27068.926499999998,2019-01-25 14:15:00,27185.45,-156.89999999999782,5.452780000000001,1080,-162.3527799999978,-175341.00239999764,-1.7534100239999764,0 days 05:00:00,MA Cross Opp,2019
SHORT,2019-01-25 14:15:00,27185.45,27457.304500000002,2019-01-29 12:15:00,26692.2,493.25,5.387765000000001,1080,487.862235,526891.2138,5.268912138,3 days 22:00:00,MA Cross Opp,2019
LONG,2019-01-29 12:15:00,26692.2,26425.278000000002,2019-01-29 13:15:00,26513.9,-178.29999999999927,5.320610000000001,1110,-183.62060999999926,-203818.87709999917,-2.0381887709999917,0 days 01:00:00,MA Cross Opp,2019
SHORT,2019-01-29 13:15:00,26513.9,26779.039,2019-01-30 09:15:00,26779.039,-265.1389999999992,5.3292939,1110,-270.4682938999992,-300219.8062289991,-3.0021980622899913,0 days 20:00:00,ISL Hit,2019
LONG,2019-01-30 12:15:00,26767.95,26500.2705,2019-02-04 09:15:00,27031.3,263.34999999999854,5.379925,1110,257.97007499999853,286346.78324999835,2.8634678324999836,4 days 21:00:00,MA Cross Opp,2019
SHORT,2019-02-04 09:15:00,27031.3,27301.613,2019-02-04 14:15:00,27155.55,-124.25,5.418685,1110,-129.668685,-143932.24035,-1.4393224035,0 days 05:00:00,MA Cross Opp,2019
LONG,2019-02-04 14:15:00,27155.55,26883.9945,2019-02-06 10:15:00,27306.8,151.25,5.446235,1080,145.803765,157468.0662,1.5746806620000002,1 days 20:00:00,MA Cross Opp,2019
SHORT,2019-02-06 10:15:00,27306.8,27579.868,2019-02-06 11:15:00,27368.85,-62.04999999999927,5.467565,1080,-67.51756499999927,-72918.97019999921,-0.7291897019999921,0 days 01:00:00,MA Cross Opp,2019
LONG,2019-02-06 11:15:00,27368.85,27095.1615,2019-02-08 09:15:00,27322.95,-45.89999999999782,5.469180000000001,1080,-51.36917999999782,-55478.71439999765,-0.5547871439999764,1 days 22:00:00,MA Cross Opp,2019
SHORT,2019-02-08 09:15:00,27322.95,27596.179500000002,2019-02-11 14:15:00,27252.35,70.60000000000218,5.45753,1080,65.14247000000218,70353.86760000236,0.7035386760000236,3 days 05:00:00,MA Cross Opp,2019
LONG,2019-02-11 14:15:00,27252.35,26979.8265,2019-02-12 14:15:00,27174.8,-77.54999999999927,5.442715,1080,-82.99271499999927,-89632.1321999992,-0.896321321999992,1 days 00:00:00,MA Cross Opp,2019
SHORT,2019-02-12 14:15:00,27174.8,27446.548,2019-02-14 13:15:00,26969.45,205.34999999999854,5.4144250000000005,1080,199.93557499999855,215930.42099999843,2.159304209999984,1 days 23:00:00,MA Cross Opp,2019
LONG,2019-02-14 13:15:00,26969.45,26699.7555,2019-02-15 10:15:00,26699.7555,-269.6945000000014,5.36692055,1110,-275.0614205500014,-305318.17681050155,-3.0531817681050155,0 days 21:00:00,ISL Hit,2019
SHORT,2019-02-15 11:15:00,26675.3,26942.053,2019-02-19 12:15:00,26889.85,-214.54999999999927,5.356515,1110,-219.90651499999927,-244096.2316499992,-2.440962316499992,4 days 01:00:00,MA Cross Opp,2019
LONG,2019-02-19 12:15:00,26889.85,26620.9515,2019-02-19 15:15:00,26675.5,-214.34999999999854,5.356535,1110,-219.70653499999855,-243874.2538499984,-2.438742538499984,0 days 03:00:00,MA Cross Opp,2019
SHORT,2019-02-19 15:15:00,26675.5,26942.255,2019-02-20 13:15:00,26885.55,-210.04999999999927,5.356105,1110,-215.4061049999993,-239100.7765499992,-2.391007765499992,0 days 22:00:00,MA Cross Opp,2019
LONG,2019-02-20 13:15:00,26885.55,26616.694499999998,2019-02-22 10:15:00,26888.05,2.5,5.37736,1110,-2.8773600000000004,-3193.8696000000004,-0.031938696,1 days 21:00:00,MA Cross Opp,2019
SHORT,2019-02-22 10:15:00,26888.05,27156.9305,2019-02-25 11:15:00,27017.35,-129.29999999999927,5.39054,1110,-134.69053999999926,-149506.4993999992,-1.4950649939999918,3 days 01:00:00,MA Cross Opp,2019
